Failed to open dir (No such file or directory): /run/user/1013/gvfs/
Blender 3.6.0 (hash c7fc78b81ecb built 2023-06-27 08:23:50)
Fra:1 Mem:15.41M (Peak 15.41M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 17_cheek_blowing
Fra:1 Mem:87.49M (Peak 87.49M) | Time:00:00.61 | Mem:71.47M, Peak:71.47M | Scene, ViewLayer | Updating Device | Writing constant memory
Fra:1 Mem:87.50M (Peak 87.50M) | Time:00:00.61 | Mem:71.47M, Peak:71.47M | Scene, ViewLayer | Sample 0/128
Fra:1 Mem:163.50M (Peak 163.50M) | Time:00:02.12 | Remaining:03:12.33 | Mem:147.48M, Peak:147.48M | Scene, ViewLayer | Sample 1/128
Fra:1 Mem:163.50M (Peak 163.50M) | Time:00:26.82 | Remaining:02:51.17 | Mem:147.48M, Peak:147.48M | Scene, ViewLayer | Sample 17/128
Fra:1 Mem:163.50M (Peak 163.50M) | Time:00:54.13 | Remaining:02:34.09 | Mem:147.48M, Peak:147.48M | Scene, ViewLayer | Sample 33/128
Fra:1 Mem:163.50M (Peak 163.50M) | Time:01:19.63 | Remaining:02:07.40 | Mem:147.48M, Peak:147.48M | Scene, ViewLayer | Sample 49/128
Fra:1 Mem:163.50M (Peak 163.50M) | Time:01:45.63 | Remaining:01:41.79 | Mem:147.48M, Peak:147.48M | Scene, ViewLayer | Sample 65/128
Fra:1 Mem:163.50M (Peak 163.50M) | Time:02:08.42 | Remaining:01:16.69 | Mem:147.48M, Peak:147.48M | Scene, ViewLayer | Sample 80/128
Fra:1 Mem:163.50M (Peak 163.50M) | Time:02:28.52 | Remaining:00:49.30 | Mem:147.48M, Peak:147.48M | Scene, ViewLayer | Sample 96/128
Fra:1 Mem:163.50M (Peak 163.50M) | Time:02:43.84 | Remaining:00:23.31 | Mem:147.48M, Peak:147.48M | Scene, ViewLayer | Sample 112/128
Fra:1 Mem:195.50M (Peak 243.50M) | Time:03:20.03 | Mem:147.48M, Peak:147.48M | Scene, ViewLayer | Sample 128/128
Fra:1 Mem:195.50M (Peak 243.50M) | Time:03:20.03 | Mem:147.48M, Peak:147.48M | Scene, ViewLayer | Finished
Saved: '/home/wcc/lrm_data/2_17_cheek_blowing/rgba/000.png'
 Time: 03:21.05 (Saving: 00:01.00)

Fra:1 Mem:16.21M (Peak 16.21M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 17_cheek_blowing
Fra:1 Mem:19.76M (Peak 20.95M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Initializing
Fra:1 Mem:18.38M (Peak 20.95M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Waiting for render to start
Fra:1 Mem:18.38M (Peak 20.95M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Loading render kernels (may take a few minutes the first time)
Fra:1 Mem:18.38M (Peak 20.95M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Scene
Fra:1 Mem:18.38M (Peak 20.95M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Shaders
Fra:1 Mem:18.38M (Peak 20.95M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Procedurals
Fra:1 Mem:18.38M (Peak 20.95M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Background
Fra:1 Mem:18.38M (Peak 20.95M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Camera
Fra:1 Mem:18.38M (Peak 20.95M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Meshes Flags
Fra:1 Mem:18.38M (Peak 20.95M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Objects
Fra:1 Mem:18.38M (Peak 20.95M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Objects | Copying Transformations to device
Fra:1 Mem:18.38M (Peak 20.95M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Objects | Applying Static Transformations
Fra:1 Mem:18.38M (Peak 20.95M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Particle Systems
Fra:1 Mem:18.38M (Peak 20.95M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Particle Systems | Copying Particles to device
Fra:1 Mem:18.38M (Peak 20.95M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Meshes
Fra:1 Mem:19.18M (Peak 20.95M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Mesh | Computing attributes
Fra:1 Mem:20.68M (Peak 20.95M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Mesh | Copying Attributes to device
Fra:1 Mem:20.68M (Peak 20.95M) | Time:00:00.05 | Mem:1.50M, Peak:1.50M | Scene, ViewLayer | Updating Scene BVH | Building
Fra:1 Mem:20.68M (Peak 20.95M) | Time:00:00.05 | Mem:1.50M, Peak:1.50M | Scene, ViewLayer | Updating Scene BVH | Building BVH
Fra:1 Mem:20.68M (Peak 20.95M) | Time:00:00.05 | Mem:3.09M, Peak:3.09M | Scene, ViewLayer | Updating Scene BVH | Building BVH 0%
Fra:1 Mem:20.68M (Peak 20.95M) | Time:00:00.10 | Mem:4.66M, Peak:6.26M | Scene, ViewLayer | Updating Scene BVH | Copying BVH to device
Fra:1 Mem:20.68M (Peak 20.95M) | Time:00:00.10 | Mem:4.66M, Peak:6.26M | Scene, ViewLayer | Updating Mesh | Computing normals
Fra:1 Mem:22.48M (Peak 22.48M) | Time:00:00.10 | Mem:4.66M, Peak:6.26M | Scene, ViewLayer | Updating Mesh | Copying Mesh to device
Fra:1 Mem:22.48M (Peak 22.48M) | Time:00:00.10 | Mem:6.46M, Peak:6.46M | Scene, ViewLayer | Updating Objects Flags
Fra:1 Mem:22.48M (Peak 22.48M) | Time:00:00.10 | Mem:6.46M, Peak:6.46M | Scene, ViewLayer | Updating Primitive Offsets
Fra:1 Mem:22.48M (Peak 22.48M) | Time:00:00.10 | Mem:6.46M, Peak:6.46M | Scene, ViewLayer | Updating Images
Fra:1 Mem:22.48M (Peak 22.48M) | Time:00:00.10 | Mem:6.46M, Peak:6.46M | Scene, ViewLayer | Updating Images | Loading 17_cheek_blowing.jpg
Fra:1 Mem:86.49M (Peak 86.49M) | Time:00:00.47 | Mem:70.46M, Peak:70.46M | Scene, ViewLayer | Updating Camera Volume
Fra:1 Mem:86.49M (Peak 86.49M) | Time:00:00.47 | Mem:70.46M, Peak:70.46M | Scene, ViewLayer | Updating Lookup Tables
Fra:1 Mem:86.49M (Peak 86.49M) | Time:00:00.47 | Mem:70.46M, Peak:70.46M | Scene, ViewLayer | Updating Lights
Fra:1 Mem:86.49M (Peak 86.49M) | Time:00:00.47 | Mem:70.46M, Peak:70.46M | Scene, ViewLayer | Updating Lights | Computing distribution
Fra:1 Mem:86.49M (Peak 86.49M) | Time:00:00.47 | Mem:70.46M, Peak:70.46M | Scene, ViewLayer | Updating Lights | Computing tree
Fra:1 Mem:86.49M (Peak 86.49M) | Time:00:00.47 | Mem:70.47M, Peak:70.47M | Scene, ViewLayer | Updating Integrator
Fra:1 Mem:87.49M (Peak 87.49M) | Time:00:00.48 | Mem:71.47M, Peak:71.47M | Scene, ViewLayer | Updating Film
Fra:1 Mem:87.49M (Peak 87.49M) | Time:00:00.48 | Mem:71.47M, Peak:71.47M | Scene, ViewLayer | Updating Lookup Tables
Fra:1 Mem:87.49M (Peak 87.49M) | Time:00:00.48 | Mem:71.47M, Peak:71.47M | Scene, ViewLayer | Updating Baking
Fra:1 Mem:87.49M (Peak 87.49M) | Time:00:00.48 | Mem:71.47M, Peak:71.47M | Scene, ViewLayer | Updating Device | Writing constant memory
Fra:1 Mem:87.50M (Peak 87.50M) | Time:00:00.48 | Mem:71.47M, Peak:71.47M | Scene, ViewLayer | Sample 0/128
Fra:1 Mem:163.50M (Peak 163.50M) | Time:00:04.01 | Remaining:07:28.82 | Mem:147.48M, Peak:147.48M | Scene, ViewLayer | Sample 1/128
Fra:1 Mem:163.50M (Peak 163.50M) | Time:00:25.53 | Remaining:05:31.24 | Mem:147.48M, Peak:147.48M | Scene, ViewLayer | Sample 9/128
Fra:1 Mem:163.50M (Peak 163.50M) | Time:00:50.75 | Remaining:05:28.25 | Mem:147.48M, Peak:147.48M | Scene, ViewLayer | Sample 17/128
Fra:1 Mem:163.50M (Peak 163.50M) | Time:01:10.81 | Remaining:04:49.76 | Mem:147.48M, Peak:147.48M | Scene, ViewLayer | Sample 25/128
Fra:1 Mem:163.50M (Peak 163.50M) | Time:01:33.21 | Remaining:04:26.96 | Mem:147.48M, Peak:147.48M | Scene, ViewLayer | Sample 33/128
Fra:1 Mem:163.50M (Peak 163.50M) | Time:01:56.36 | Remaining:04:05.90 | Mem:147.48M, Peak:147.48M | Scene, ViewLayer | Sample 41/128
Fra:1 Mem:163.50M (Peak 163.50M) | Time:02:18.36 | Remaining:03:42.30 | Mem:147.48M, Peak:147.48M | Scene, ViewLayer | Sample 49/128
Fra:1 Mem:163.50M (Peak 163.50M) | Time:02:43.68 | Remaining:03:23.29 | Mem:147.48M, Peak:147.48M | Scene, ViewLayer | Sample 57/128
Fra:1 Mem:163.50M (Peak 163.50M) | Time:03:00.00 | Remaining:02:53.99 | Mem:147.48M, Peak:147.48M | Scene, ViewLayer | Sample 65/128
Fra:1 Mem:163.50M (Peak 163.50M) | Time:03:23.82 | Remaining:02:33.20 | Mem:147.48M, Peak:147.48M | Scene, ViewLayer | Sample 73/128
Fra:1 Mem:163.50M (Peak 163.50M) | Time:03:43.78 | Remaining:02:13.98 | Mem:147.48M, Peak:147.48M | Scene, ViewLayer | Sample 80/128
Fra:1 Mem:163.50M (Peak 163.50M) | Time:03:48.75 | Remaining:01:43.76 | Mem:147.48M, Peak:147.48M | Scene, ViewLayer | Sample 88/128
Fra:1 Mem:163.50M (Peak 163.50M) | Time:03:54.74 | Remaining:01:18.08 | Mem:147.48M, Peak:147.48M | Scene, ViewLayer | Sample 96/128
Fra:1 Mem:163.50M (Peak 163.50M) | Time:04:04.01 | Remaining:00:34.79 | Mem:147.48M, Peak:147.48M | Scene, ViewLayer | Sample 112/128
Fra:1 Mem:195.50M (Peak 243.50M) | Time:04:35.29 | Mem:147.48M, Peak:147.48M | Scene, ViewLayer | Sample 128/128
Fra:1 Mem:195.50M (Peak 243.50M) | Time:04:35.29 | Mem:147.48M, Peak:147.48M | Scene, ViewLayer | Finished
Saved: '/home/wcc/lrm_data/2_17_cheek_blowing/rgba/001.png'
 Time: 04:35.72 (Saving: 00:00.40)

Fra:1 Mem:16.21M (Peak 16.21M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 17_cheek_blowing
Fra:1 Mem:19.76M (Peak 20.95M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Initializing
Fra:1 Mem:18.38M (Peak 20.95M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Waiting for render to start
Fra:1 Mem:18.38M (Peak 20.95M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Loading render kernels (may take a few minutes the first time)
Fra:1 Mem:18.38M (Peak 20.95M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Scene
Fra:1 Mem:18.38M (Peak 20.95M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Shaders
Fra:1 Mem:18.38M (Peak 20.95M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Procedurals
Fra:1 Mem:18.38M (Peak 20.95M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Background
Fra:1 Mem:18.38M (Peak 20.95M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Camera
Fra:1 Mem:18.38M (Peak 20.95M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Meshes Flags
Fra:1 Mem:18.38M (Peak 20.95M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Objects
Fra:1 Mem:18.38M (Peak 20.95M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Objects | Copying Transformations to device
Fra:1 Mem:18.38M (Peak 20.95M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Objects | Applying Static Transformations
Fra:1 Mem:18.38M (Peak 20.95M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Particle Systems
Fra:1 Mem:18.38M (Peak 20.95M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Particle Systems | Copying Particles to device
Fra:1 Mem:18.38M (Peak 20.95M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Meshes
Fra:1 Mem:19.18M (Peak 20.95M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Mesh | Computing attributes
Fra:1 Mem:20.68M (Peak 20.95M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Mesh | Copying Attributes to device
Fra:1 Mem:20.68M (Peak 20.95M) | Time:00:00.03 | Mem:1.50M, Peak:1.50M | Scene, ViewLayer | Updating Scene BVH | Building
Fra:1 Mem:20.68M (Peak 20.95M) | Time:00:00.03 | Mem:1.50M, Peak:1.50M | Scene, ViewLayer | Updating Scene BVH | Building BVH
Fra:1 Mem:20.68M (Peak 20.95M) | Time:00:00.03 | Mem:3.09M, Peak:3.09M | Scene, ViewLayer | Updating Scene BVH | Building BVH 0%
Fra:1 Mem:20.68M (Peak 20.95M) | Time:00:00.07 | Mem:4.66M, Peak:6.26M | Scene, ViewLayer | Updating Scene BVH | Copying BVH to device
Fra:1 Mem:20.68M (Peak 20.95M) | Time:00:00.07 | Mem:4.66M, Peak:6.26M | Scene, ViewLayer | Updating Mesh | Computing normals
Fra:1 Mem:22.48M (Peak 22.48M) | Time:00:00.07 | Mem:4.66M, Peak:6.26M | Scene, ViewLayer | Updating Mesh | Copying Mesh to device
Fra:1 Mem:22.48M (Peak 22.48M) | Time:00:00.07 | Mem:6.46M, Peak:6.46M | Scene, ViewLayer | Updating Objects Flags
Fra:1 Mem:22.48M (Peak 22.48M) | Time:00:00.07 | Mem:6.46M, Peak:6.46M | Scene, ViewLayer | Updating Primitive Offsets
Fra:1 Mem:22.48M (Peak 22.48M) | Time:00:00.07 | Mem:6.46M, Peak:6.46M | Scene, ViewLayer | Updating Images
Fra:1 Mem:22.48M (Peak 22.48M) | Time:00:00.07 | Mem:6.46M, Peak:6.46M | Scene, ViewLayer | Updating Images | Loading 17_cheek_blowing.jpg
Fra:1 Mem:86.49M (Peak 86.49M) | Time:00:00.43 | Mem:70.46M, Peak:70.46M | Scene, ViewLayer | Updating Camera Volume
Fra:1 Mem:86.49M (Peak 86.49M) | Time:00:00.43 | Mem:70.46M, Peak:70.46M | Scene, ViewLayer | Updating Lookup Tables
Fra:1 Mem:86.49M (Peak 86.49M) | Time:00:00.43 | Mem:70.46M, Peak:70.46M | Scene, ViewLayer | Updating Lights
Fra:1 Mem:86.49M (Peak 86.49M) | Time:00:00.43 | Mem:70.46M, Peak:70.46M | Scene, ViewLayer | Updating Lights | Computing distribution
Fra:1 Mem:86.49M (Peak 86.49M) | Time:00:00.43 | Mem:70.46M, Peak:70.46M | Scene, ViewLayer | Updating Lights | Computing tree
Fra:1 Mem:86.49M (Peak 86.49M) | Time:00:00.43 | Mem:70.47M, Peak:70.47M | Scene, ViewLayer | Updating Integrator
Fra:1 Mem:87.49M (Peak 87.49M) | Time:00:00.43 | Mem:71.47M, Peak:71.47M | Scene, ViewLayer | Updating Film
Fra:1 Mem:87.49M (Peak 87.49M) | Time:00:00.43 | Mem:71.47M, Peak:71.47M | Scene, ViewLayer | Updating Lookup Tables
Fra:1 Mem:87.49M (Peak 87.49M) | Time:00:00.43 | Mem:71.47M, Peak:71.47M | Scene, ViewLayer | Updating Baking
Fra:1 Mem:87.49M (Peak 87.49M) | Time:00:00.43 | Mem:71.47M, Peak:71.47M | Scene, ViewLayer | Updating Device | Writing constant memory
Fra:1 Mem:87.50M (Peak 87.50M) | Time:00:00.43 | Mem:71.47M, Peak:71.47M | Scene, ViewLayer | Sample 0/128
Fra:1 Mem:163.50M (Peak 163.50M) | Time:00:02.33 | Remaining:04:01.62 | Mem:147.48M, Peak:147.48M | Scene, ViewLayer | Sample 1/128
Fra:1 Mem:163.50M (Peak 163.50M) | Time:00:36.74 | Remaining:03:57.04 | Mem:147.48M, Peak:147.48M | Scene, ViewLayer | Sample 17/128
Fra:1 Mem:163.50M (Peak 163.50M) | Time:01:08.99 | Remaining:03:17.36 | Mem:147.48M, Peak:147.48M | Scene, ViewLayer | Sample 33/128
Fra:1 Mem:163.50M (Peak 163.50M) | Time:01:47.77 | Remaining:02:53.05 | Mem:147.48M, Peak:147.48M | Scene, ViewLayer | Sample 49/128
Fra:1 Mem:163.50M (Peak 163.50M) | Time:02:19.88 | Remaining:02:15.15 | Mem:147.48M, Peak:147.48M | Scene, ViewLayer | Sample 65/128
Fra:1 Mem:163.50M (Peak 163.50M) | Time:02:54.06 | Remaining:01:44.17 | Mem:147.48M, Peak:147.48M | Scene, ViewLayer | Sample 80/128
Fra:1 Mem:163.50M (Peak 163.50M) | Time:03:01.82 | Remaining:01:00.46 | Mem:147.48M, Peak:147.48M | Scene, ViewLayer | Sample 96/128
Fra:1 Mem:163.50M (Peak 163.50M) | Time:03:08.90 | Remaining:00:26.92 | Mem:147.48M, Peak:147.48M | Scene, ViewLayer | Sample 112/128
Fra:1 Mem:195.50M (Peak 243.50M) | Time:03:40.54 | Mem:147.48M, Peak:147.48M | Scene, ViewLayer | Sample 128/128
Fra:1 Mem:195.50M (Peak 243.50M) | Time:03:40.54 | Mem:147.48M, Peak:147.48M | Scene, ViewLayer | Finished
Saved: '/home/wcc/lrm_data/2_17_cheek_blowing/rgba/002.png'
 Time: 03:40.90 (Saving: 00:00.34)

Fra:1 Mem:16.21M (Peak 16.21M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 17_cheek_blowing
Fra:1 Mem:19.76M (Peak 20.95M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Initializing
Fra:1 Mem:18.38M (Peak 20.95M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Waiting for render to start
Fra:1 Mem:18.38M (Peak 20.95M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Loading render kernels (may take a few minutes the first time)
Fra:1 Mem:18.38M (Peak 20.95M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Scene
Fra:1 Mem:18.38M (Peak 20.95M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Shaders
Fra:1 Mem:18.38M (Peak 20.95M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Procedurals
Fra:1 Mem:18.38M (Peak 20.95M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Background
Fra:1 Mem:18.38M (Peak 20.95M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Camera
Fra:1 Mem:18.38M (Peak 20.95M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Meshes Flags
Fra:1 Mem:18.38M (Peak 20.95M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Objects
Fra:1 Mem:18.38M (Peak 20.95M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Objects | Copying Transformations to device
Fra:1 Mem:18.38M (Peak 20.95M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Objects | Applying Static Transformations
Fra:1 Mem:18.38M (Peak 20.95M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Particle Systems
Fra:1 Mem:18.38M (Peak 20.95M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Particle Systems | Copying Particles to device
Fra:1 Mem:18.38M (Peak 20.95M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Meshes
Fra:1 Mem:19.18M (Peak 20.95M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Mesh | Computing attributes
Fra:1 Mem:20.68M (Peak 20.95M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Mesh | Copying Attributes to device
Fra:1 Mem:20.68M (Peak 20.95M) | Time:00:00.02 | Mem:1.50M, Peak:1.50M | Scene, ViewLayer | Updating Scene BVH | Building
Fra:1 Mem:20.68M (Peak 20.95M) | Time:00:00.02 | Mem:1.50M, Peak:1.50M | Scene, ViewLayer | Updating Scene BVH | Building BVH
Fra:1 Mem:20.68M (Peak 20.95M) | Time:00:00.02 | Mem:3.09M, Peak:3.09M | Scene, ViewLayer | Updating Scene BVH | Building BVH 0%
Fra:1 Mem:20.68M (Peak 20.95M) | Time:00:00.07 | Mem:4.66M, Peak:6.26M | Scene, ViewLayer | Updating Scene BVH | Copying BVH to device
