nohup: ignoring input
Using /data1/wcc/.cache/torch_extensions/py39_cu117 as PyTorch extensions root...
Detected CUDA files, patching ldflags
Emitting ninja build file /data1/wcc/.cache/torch_extensions/py39_cu117/_raymarching/build.ninja...
Building extension module _raymarching...
Allowing ninja to set a default number of workers... (overridable by setting the environment variable MAX_JOBS=N)
ninja: no work to do.
Loading extension module _raymarching...
Using /data1/wcc/.cache/torch_extensions/py39_cu117 as PyTorch extensions root...
Detected CUDA files, patching ldflags
Emitting ninja build file /data1/wcc/.cache/torch_extensions/py39_cu117/_grid_encoder/build.ninja...
Building extension module _grid_encoder...
Allowing ninja to set a default number of workers... (overridable by setting the environment variable MAX_JOBS=N)
ninja: no work to do.
Loading extension module _grid_encoder...
Using /data1/wcc/.cache/torch_extensions/py39_cu117 as PyTorch extensions root...
Detected CUDA files, patching ldflags
Emitting ninja build file /data1/wcc/.cache/torch_extensions/py39_cu117/_freqencoder/build.ninja...
Building extension module _freqencoder...
Allowing ninja to set a default number of workers... (overridable by setting the environment variable MAX_JOBS=N)
Namespace(path='/home/wcc/RodinHD/data/fitting_obj_list_300.txt', save_dir='/home/wcc/RodinHD/data/save_triplane_and_mlp_300_pro', data_root='/home/wcc/RodinHD/data/raw_data_300', O=True, test=False, ray_shuffle=True, workspace='/home/wcc/RodinHD/data/save_triplane_and_mlp_300_pro', seed=0, iters=5000, lr0=0.02, lr1=0.002, ckpt='latest', num_rays=65536, cuda_ray=True, max_steps=1024, num_steps=512, update_extra_interval=1, upsample_steps=512, max_ray_batch=4096, l1_reg_weight=0.0001, tv_weight=0.01, dist_weight=0.0, iwc_weight=0.1, patch_size=1, fp16=True, cp=False, triplane_channels=32, downscale=1, resolution0=512, resolution1=512, upsample_model_steps=[], grid_size=256, color_space='srgb', preload=True, bound=1.0, scale=0.4, offset=[0, 0, 0], dt_gamma=0.0, min_near=0.2, density_thresh=10, bg_radius=-1, gui=False, W=1920, H=1080, radius=5, fovy=50, max_spp=64, num_train_frames=300, out_loop_eps=90, eval_freq=1, no_tqdm=False, random_noise=False, random_scale=False, error_map=False, clip_text='', rand_pose=-1, start_idx=0, end_idx=1, eval_video=False)
Render using grid size:  256
ninja: no work to do.
Loading extension module _freqencoder...
NeRFNetworkPlus(
  (grid_sample): GridEncoder: input_dim=2 num_levels=3 level_dim=32 resolution=512 -> 512 per_level_scale=1.0000 gridtype=tiled align_corners=True interpolation=linear
  (encoder): FreqEncoder: input_dim=24 degree=2 output_dim=120
  (encoder_sigma): FreqEncoder: input_dim=8 degree=2 output_dim=40
  (encoder_dir): FreqEncoder: input_dim=3 degree=2 output_dim=15
  (color_net): ModuleList(
    (0): Linear(in_features=263, out_features=128, bias=False)
    (1): Linear(in_features=128, out_features=128, bias=False)
    (2): Linear(in_features=128, out_features=3, bias=False)
  )
  (sigma_net): Sequential(
    (0): Linear(in_features=40, out_features=128, bias=True)
    (1): Softplus(beta=1, threshold=20)
    (2): Linear(in_features=128, out_features=129, bias=True)
  )
)
1
Creating triplane as /home/wcc/RodinHD/data/save_triplane_and_mlp_300_pro/1_1_neutral.npy
Generate dataset cost 7.463481187820435 s/avatar.
[INFO] Trainer: ngp | 2024-10-29_15-37-15 | cuda:0 | fp16 | 
/home/wcc/RodinHD/data/save_triplane_and_mlp_300_pro
[INFO] #parameters: 72321
[INFO] Loading latest checkpoint ...
[WARN] No checkpoint found, model randomly initialized.
Creating triplane as /home/wcc/RodinHD/data/save_triplane_and_mlp_300_pro/1_1_neutral.npy
==> Start Training Epoch(random shuffle rays) 1, lr1=0.002000 lr0=0.020000
  0% 0/4800 [00:00<?, ?it/s]
loss=0.1505 (0.1505) xyz.shape=torch.Size([1198080, 3]): :   0% 0/4800 [00:03<?, ?it/s]
loss=0.1467 (0.1413) xyz.shape=torch.Size([351744, 3]): :  33% 1569/4800 [05:51<09:43,  5.54it/s]
loss=0.1423 (0.1413) xyz.shape=torch.Size([357120, 3]): :  33% 1569/4800 [05:52<09:43,  5.54it/s]
loss=0.1423 (0.1413) xyz.shape=torch.Size([357120, 3]): :  33% 1570/4800 [05:52<13:22,  4.03it/s]
loss=0.1391 (0.1413) xyz.shape=torch.Size([351488, 3]): :  33% 1570/4800 [05:52<13:22,  4.03it/s]
loss=0.1391 (0.1413) xyz.shape=torch.Size([351488, 3]): :  33% 1571/4800 [05:52<11:56,  4.50it/s]
loss=0.1476 (0.1413) xyz.shape=torch.Size([344704, 3]): :  33% 1571/4800 [05:52<11:56,  4.50it/s]
loss=0.1476 (0.1413) xyz.shape=torch.Size([344704, 3]): :  33% 1572/4800 [05:52<10:56,  4.92it/s]
loss=0.1470 (0.1413) xyz.shape=torch.Size([365824, 3]): :  33% 1572/4800 [05:52<10:56,  4.92it/s]
loss=0.1470 (0.1413) xyz.shape=torch.Size([365824, 3]): :  33% 1573/4800 [05:52<10:14,  5.25it/s]
loss=0.1397 (0.1413) xyz.shape=torch.Size([353920, 3]): :  33% 1573/4800 [05:52<10:14,  5.25it/s]
loss=0.1397 (0.1413) xyz.shape=torch.Size([353920, 3]): :  33% 1574/4800 [05:52<09:46,  5.50it/s]
loss=0.1434 (0.1413) xyz.shape=torch.Size([363008, 3]): :  33% 1574/4800 [05:53<09:46,  5.50it/s]
loss=0.1434 (0.1413) xyz.shape=torch.Size([363008, 3]): :  33% 1575/4800 [05:53<09:25,  5.70it/s]
loss=0.1416 (0.1413) xyz.shape=torch.Size([363520, 3]): :  33% 1575/4800 [05:53<09:25,  5.70it/s]
loss=0.1416 (0.1413) xyz.shape=torch.Size([363520, 3]): :  33% 1576/4800 [05:53<12:58,  4.14it/s]
loss=0.1387 (0.1413) xyz.shape=torch.Size([353536, 3]): :  33% 1576/4800 [05:53<12:58,  4.14it/s]
loss=0.1387 (0.1413) xyz.shape=torch.Size([353536, 3]): :  33% 1577/4800 [05:53<11:39,  4.60it/s]
loss=0.1446 (0.1413) xyz.shape=torch.Size([355328, 3]): :  33% 1577/4800 [05:53<11:39,  4.60it/s]
loss=0.1446 (0.1413) xyz.shape=torch.Size([355328, 3]): :  33% 1578/4800 [05:53<10:44,  5.00it/s]
loss=0.1479 (0.1413) xyz.shape=torch.Size([360960, 3]): :  33% 1578/4800 [05:53<10:44,  5.00it/s]
loss=0.1479 (0.1413) xyz.shape=torch.Size([360960, 3]): :  33% 1579/4800 [05:53<10:05,  5.32it/s]
loss=0.1433 (0.1413) xyz.shape=torch.Size([367232, 3]): :  33% 1579/4800 [05:54<10:05,  5.32it/s]
loss=0.1433 (0.1413) xyz.shape=torch.Size([367232, 3]): :  33% 1580/4800 [05:54<09:38,  5.57it/s]
loss=0.1495 (0.1413) xyz.shape=torch.Size([352768, 3]): :  33% 1580/4800 [05:54<09:38,  5.57it/s]
loss=0.1495 (0.1413) xyz.shape=torch.Size([352768, 3]): :  33% 1581/4800 [05:54<13:10,  4.07it/s]
loss=0.1404 (0.1413) xyz.shape=torch.Size([365696, 3]): :  33% 1581/4800 [05:54<13:10,  4.07it/s]
loss=0.1404 (0.1413) xyz.shape=torch.Size([365696, 3]): :  33% 1582/4800 [05:54<11:48,  4.54it/s]
loss=0.1445 (0.1413) xyz.shape=torch.Size([354816, 3]): :  33% 1582/4800 [05:54<11:48,  4.54it/s]
loss=0.1445 (0.1413) xyz.shape=torch.Size([354816, 3]): :  33% 1583/4800 [05:54<10:50,  4.94it/s]
loss=0.1445 (0.1413) xyz.shape=torch.Size([359040, 3]): :  33% 1583/4800 [05:54<10:50,  4.94it/s]
loss=0.1445 (0.1413) xyz.shape=torch.Size([359040, 3]): :  33% 1584/4800 [05:54<10:10,  5.27it/s]
loss=0.1406 (0.1413) xyz.shape=torch.Size([360704, 3]): :  33% 1584/4800 [05:55<10:10,  5.27it/s]
loss=0.1406 (0.1413) xyz.shape=torch.Size([360704, 3]): :  33% 1585/4800 [05:55<09:40,  5.54it/s]
loss=0.1523 (0.1414) xyz.shape=torch.Size([358272, 3]): :  33% 1585/4800 [05:55<09:40,  5.54it/s]
loss=0.1523 (0.1414) xyz.shape=torch.Size([358272, 3]): :  33% 1586/4800 [05:55<13:09,  4.07it/s]
loss=0.1449 (0.1414) xyz.shape=torch.Size([364928, 3]): :  33% 1586/4800 [05:55<13:09,  4.07it/s]
loss=0.1449 (0.1414) xyz.shape=torch.Size([364928, 3]): :  33% 1587/4800 [05:55<11:46,  4.55it/s]
loss=0.1426 (0.1414) xyz.shape=torch.Size([370304, 3]): :  33% 1587/4800 [05:55<11:46,  4.55it/s]
loss=0.1426 (0.1414) xyz.shape=torch.Size([370304, 3]): :  33% 1588/4800 [05:55<10:48,  4.95it/s]
loss=0.1386 (0.1414) xyz.shape=torch.Size([365696, 3]): :  33% 1588/4800 [05:56<10:48,  4.95it/s]
loss=0.1386 (0.1414) xyz.shape=torch.Size([365696, 3]): :  33% 1589/4800 [05:56<10:09,  5.27it/s]
loss=0.1412 (0.1414) xyz.shape=torch.Size([369152, 3]): :  33% 1589/4800 [05:56<10:09,  5.27it/s]
loss=0.1412 (0.1414) xyz.shape=torch.Size([369152, 3]): :  33% 1590/4800 [05:56<09:42,  5.52it/s]
loss=0.1476 (0.1414) xyz.shape=torch.Size([365568, 3]): :  33% 1590/4800 [05:56<09:42,  5.52it/s]
loss=0.1476 (0.1414) xyz.shape=torch.Size([365568, 3]): :  33% 1591/4800 [05:56<13:19,  4.02it/s]
loss=0.1374 (0.1414) xyz.shape=torch.Size([366592, 3]): :  33% 1591/4800 [05:56<13:19,  4.02it/s]
loss=0.1374 (0.1414) xyz.shape=torch.Size([366592, 3]): :  33% 1592/4800 [05:56<11:54,  4.49it/s]
loss=0.1352 (0.1414) xyz.shape=torch.Size([370560, 3]): :  33% 1592/4800 [05:56<11:54,  4.49it/s]
loss=0.1352 (0.1414) xyz.shape=torch.Size([370560, 3]): :  33% 1593/4800 [05:56<10:53,  4.90it/s]
loss=0.1435 (0.1414) xyz.shape=torch.Size([367488, 3]): :  33% 1593/4800 [05:57<10:53,  4.90it/s]
loss=0.1435 (0.1414) xyz.shape=torch.Size([367488, 3]): :  33% 1594/4800 [05:57<10:13,  5.23it/s]
loss=0.1425 (0.1414) xyz.shape=torch.Size([368000, 3]): :  33% 1594/4800 [05:57<10:13,  5.23it/s]
loss=0.1425 (0.1414) xyz.shape=torch.Size([368000, 3]): :  33% 1595/4800 [05:57<09:44,  5.48it/s]
loss=0.1426 (0.1414) xyz.shape=torch.Size([370944, 3]): :  33% 1595/4800 [05:57<09:44,  5.48it/s]
loss=0.1426 (0.1414) xyz.shape=torch.Size([370944, 3]): :  33% 1596/4800 [05:57<13:24,  3.98it/s]
loss=0.1420 (0.1414) xyz.shape=torch.Size([374656, 3]): :  33% 1596/4800 [05:57<13:24,  3.98it/s]
loss=0.1420 (0.1414) xyz.shape=torch.Size([374656, 3]): :  33% 1597/4800 [05:57<11:58,  4.46it/s]
loss=0.1395 (0.1414) xyz.shape=torch.Size([363392, 3]): :  33% 1597/4800 [05:57<11:58,  4.46it/s]
loss=0.1395 (0.1414) xyz.shape=torch.Size([363392, 3]): :  33% 1598/4800 [05:57<10:56,  4.88it/s]
loss=0.1431 (0.1414) xyz.shape=torch.Size([366976, 3]): :  33% 1598/4800 [05:58<10:56,  4.88it/s]
loss=0.1431 (0.1414) xyz.shape=torch.Size([366976, 3]): :  33% 1599/4800 [05:58<10:13,  5.22it/s]
loss=0.1403 (0.1414) xyz.shape=torch.Size([376576, 3]): :  33% 1599/4800 [05:58<10:13,  5.22it/s]
loss=0.1403 (0.1414) xyz.shape=torch.Size([376576, 3]): :  33% 1600/4800 [05:58<09:44,  5.47it/s]
loss=0.1464 (0.1414) xyz.shape=torch.Size([368896, 3]): :  33% 1600/4800 [05:58<09:44,  5.47it/s]
loss=0.1464 (0.1414) xyz.shape=torch.Size([368896, 3]): :  33% 1601/4800 [05:58<13:17,  4.01it/s]
loss=0.1444 (0.1414) xyz.shape=torch.Size([371200, 3]): :  33% 1601/4800 [05:58<13:17,  4.01it/s]
loss=0.1444 (0.1414) xyz.shape=torch.Size([371200, 3]): :  33% 1602/4800 [05:58<11:52,  4.49it/s]
loss=0.1422 (0.1414) xyz.shape=torch.Size([377856, 3]): :  33% 1602/4800 [05:59<11:52,  4.49it/s]
loss=0.1422 (0.1414) xyz.shape=torch.Size([377856, 3]): :  33% 1603/4800 [05:59<10:54,  4.89it/s]
loss=0.1459 (0.1414) xyz.shape=torch.Size([364288, 3]): :  33% 1603/4800 [05:59<10:54,  4.89it/s]
loss=0.1459 (0.1414) xyz.shape=torch.Size([364288, 3]): :  33% 1604/4800 [05:59<10:11,  5.22it/s]
loss=0.1507 (0.1414) xyz.shape=torch.Size([361472, 3]): :  33% 1604/4800 [05:59<10:11,  5.22it/s]
loss=0.1507 (0.1414) xyz.shape=torch.Size([361472, 3]): :  33% 1605/4800 [05:59<09:41,  5.49it/s]
loss=0.1348 (0.1414) xyz.shape=torch.Size([367616, 3]): :  33% 1605/4800 [05:59<09:41,  5.49it/s]
loss=0.1348 (0.1414) xyz.shape=torch.Size([367616, 3]): :  33% 1606/4800 [05:59<13:08,  4.05it/s]
loss=0.1421 (0.1414) xyz.shape=torch.Size([368256, 3]): :  33% 1606/4800 [05:59<13:08,  4.05it/s]
loss=0.1421 (0.1414) xyz.shape=torch.Size([368256, 3]): :  33% 1607/4800 [05:59<11:44,  4.53it/s]
loss=0.1440 (0.1414) xyz.shape=torch.Size([364160, 3]): :  33% 1607/4800 [06:00<11:44,  4.53it/s]
loss=0.1440 (0.1414) xyz.shape=torch.Size([364160, 3]): :  34% 1608/4800 [06:00<10:47,  4.93it/s]
loss=0.1388 (0.1414) xyz.shape=torch.Size([367360, 3]): :  34% 1608/4800 [06:00<10:47,  4.93it/s]
loss=0.1388 (0.1414) xyz.shape=torch.Size([367360, 3]): :  34% 1609/4800 [06:00<10:08,  5.25it/s]
loss=0.1489 (0.1414) xyz.shape=torch.Size([367488, 3]): :  34% 1609/4800 [06:00<10:08,  5.25it/s]
loss=0.1489 (0.1414) xyz.shape=torch.Size([367488, 3]): :  34% 1610/4800 [06:00<09:41,  5.49it/s]
loss=0.1449 (0.1414) xyz.shape=torch.Size([376448, 3]): :  34% 1610/4800 [06:00<09:41,  5.49it/s]
loss=0.1449 (0.1414) xyz.shape=torch.Size([376448, 3]): :  34% 1611/4800 [06:00<13:10,  4.04it/s]
loss=0.1394 (0.1414) xyz.shape=torch.Size([370816, 3]): :  34% 1611/4800 [06:00<13:10,  4.04it/s]
loss=0.1394 (0.1414) xyz.shape=torch.Size([370816, 3]): :  34% 1612/4800 [06:00<11:46,  4.51it/s]
loss=0.1467 (0.1414) xyz.shape=torch.Size([370688, 3]): :  34% 1612/4800 [06:01<11:46,  4.51it/s]
loss=0.1467 (0.1414) xyz.shape=torch.Size([370688, 3]): :  34% 1613/4800 [06:01<10:48,  4.92it/s]
loss=0.1482 (0.1414) xyz.shape=torch.Size([369920, 3]): :  34% 1613/4800 [06:01<10:48,  4.92it/s]
loss=0.1482 (0.1414) xyz.shape=torch.Size([369920, 3]): :  34% 1614/4800 [06:01<10:07,  5.24it/s]
loss=0.1451 (0.1414) xyz.shape=torch.Size([369664, 3]): :  34% 1614/4800 [06:01<10:07,  5.24it/s]
loss=0.1451 (0.1414) xyz.shape=torch.Size([369664, 3]): :  34% 1615/4800 [06:01<09:40,  5.49it/s]
loss=0.1416 (0.1414) xyz.shape=torch.Size([363008, 3]): :  34% 1615/4800 [06:01<09:40,  5.49it/s]
loss=0.1416 (0.1414) xyz.shape=torch.Size([363008, 3]): :  34% 1616/4800 [06:01<13:26,  3.95it/s]
loss=0.1441 (0.1414) xyz.shape=torch.Size([368768, 3]): :  34% 1616/4800 [06:02<13:26,  3.95it/s]
loss=0.1441 (0.1414) xyz.shape=torch.Size([368768, 3]): :  34% 1617/4800 [06:02<11:58,  4.43it/s]
loss=0.1441 (0.1414) xyz.shape=torch.Size([361984, 3]): :  34% 1617/4800 [06:02<11:58,  4.43it/s]
loss=0.1441 (0.1414) xyz.shape=torch.Size([361984, 3]): :  34% 1618/4800 [06:02<10:57,  4.84it/s]
loss=0.1425 (0.1414) xyz.shape=torch.Size([371072, 3]): :  34% 1618/4800 [06:02<10:57,  4.84it/s]
loss=0.1425 (0.1414) xyz.shape=torch.Size([371072, 3]): :  34% 1619/4800 [06:02<10:13,  5.18it/s]
loss=0.1429 (0.1414) xyz.shape=torch.Size([370304, 3]): :  34% 1619/4800 [06:02<10:13,  5.18it/s]
loss=0.1429 (0.1414) xyz.shape=torch.Size([370304, 3]): :  34% 1620/4800 [06:02<09:43,  5.45it/s]
loss=0.1411 (0.1414) xyz.shape=torch.Size([372224, 3]): :  34% 1620/4800 [06:02<09:43,  5.45it/s]
loss=0.1411 (0.1414) xyz.shape=torch.Size([372224, 3]): :  34% 1621/4800 [06:02<13:14,  4.00it/s]
loss=0.1415 (0.1414) xyz.shape=torch.Size([369024, 3]): :  34% 1621/4800 [06:03<13:14,  4.00it/s]
loss=0.1415 (0.1414) xyz.shape=torch.Size([369024, 3]): :  34% 1622/4800 [06:03<11:49,  4.48it/s]
loss=0.1373 (0.1414) xyz.shape=torch.Size([371968, 3]): :  34% 1622/4800 [06:03<11:49,  4.48it/s]
loss=0.1373 (0.1414) xyz.shape=torch.Size([371968, 3]): :  34% 1623/4800 [06:03<10:52,  4.87it/s]
loss=0.1452 (0.1414) xyz.shape=torch.Size([369536, 3]): :  34% 1623/4800 [06:03<10:52,  4.87it/s]
loss=0.1452 (0.1414) xyz.shape=torch.Size([369536, 3]): :  34% 1624/4800 [06:03<10:10,  5.20it/s]
loss=0.1451 (0.1414) xyz.shape=torch.Size([375296, 3]): :  34% 1624/4800 [06:03<10:10,  5.20it/s]
loss=0.1451 (0.1414) xyz.shape=torch.Size([375296, 3]): :  34% 1625/4800 [06:03<09:41,  5.46it/s]
loss=0.1499 (0.1414) xyz.shape=torch.Size([377216, 3]): :  34% 1625/4800 [06:03<09:41,  5.46it/s]
loss=0.1499 (0.1414) xyz.shape=torch.Size([377216, 3]): :  34% 1626/4800 [06:03<09:21,  5.66it/s]
loss=0.1380 (0.1414) xyz.shape=torch.Size([375936, 3]): :  34% 1626/4800 [06:04<09:21,  5.66it/s]
loss=0.1380 (0.1414) xyz.shape=torch.Size([375936, 3]): :  34% 1627/4800 [06:04<12:50,  4.12it/s]
loss=0.1458 (0.1414) xyz.shape=torch.Size([375168, 3]): :  34% 1627/4800 [06:04<12:50,  4.12it/s]
loss=0.1458 (0.1414) xyz.shape=torch.Size([375168, 3]): :  34% 1628/4800 [06:04<11:32,  4.58it/s]
loss=0.1404 (0.1414) xyz.shape=torch.Size([373504, 3]): :  34% 1628/4800 [06:04<11:32,  4.58it/s]
loss=0.1404 (0.1414) xyz.shape=torch.Size([373504, 3]): :  34% 1629/4800 [06:04<10:38,  4.97it/s]
loss=0.1516 (0.1414) xyz.shape=torch.Size([378624, 3]): :  34% 1629/4800 [06:04<10:38,  4.97it/s]
loss=0.1516 (0.1414) xyz.shape=torch.Size([378624, 3]): :  34% 1630/4800 [06:04<10:00,  5.28it/s]
loss=0.1474 (0.1414) xyz.shape=torch.Size([380928, 3]): :  34% 1630/4800 [06:04<10:00,  5.28it/s]
loss=0.1474 (0.1414) xyz.shape=torch.Size([380928, 3]): :  34% 1631/4800 [06:04<09:37,  5.49it/s]
loss=0.1443 (0.1414) xyz.shape=torch.Size([383232, 3]): :  34% 1631/4800 [06:05<09:37,  5.49it/s]
loss=0.1443 (0.1414) xyz.shape=torch.Size([383232, 3]): :  34% 1632/4800 [06:05<13:00,  4.06it/s]
loss=0.1453 (0.1414) xyz.shape=torch.Size([381312, 3]): :  34% 1632/4800 [06:05<13:00,  4.06it/s]
loss=0.1453 (0.1414) xyz.shape=torch.Size([381312, 3]): :  34% 1633/4800 [06:05<11:39,  4.53it/s]
loss=0.1448 (0.1414) xyz.shape=torch.Size([371328, 3]): :  34% 1633/4800 [06:05<11:39,  4.53it/s]
loss=0.1448 (0.1414) xyz.shape=torch.Size([371328, 3]): :  34% 1634/4800 [06:05<10:42,  4.93it/s]
loss=0.1489 (0.1414) xyz.shape=torch.Size([376192, 3]): :  34% 1634/4800 [06:05<10:42,  4.93it/s]
loss=0.1489 (0.1414) xyz.shape=torch.Size([376192, 3]): :  34% 1635/4800 [06:05<10:02,  5.25it/s]
loss=0.1427 (0.1414) xyz.shape=torch.Size([375040, 3]): :  34% 1635/4800 [06:05<10:02,  5.25it/s]
loss=0.1427 (0.1414) xyz.shape=torch.Size([375040, 3]): :  34% 1636/4800 [06:05<09:34,  5.51it/s]
loss=0.1378 (0.1414) xyz.shape=torch.Size([378880, 3]): :  34% 1636/4800 [06:06<09:34,  5.51it/s]
loss=0.1378 (0.1414) xyz.shape=torch.Size([378880, 3]): :  34% 1637/4800 [06:06<13:04,  4.03it/s]
loss=0.1453 (0.1414) xyz.shape=torch.Size([376192, 3]): :  34% 1637/4800 [06:06<13:04,  4.03it/s]
loss=0.1453 (0.1414) xyz.shape=torch.Size([376192, 3]): :  34% 1638/4800 [06:06<11:42,  4.50it/s]
loss=0.1403 (0.1414) xyz.shape=torch.Size([378240, 3]): :  34% 1638/4800 [06:06<11:42,  4.50it/s]
loss=0.1403 (0.1414) xyz.shape=torch.Size([378240, 3]): :  34% 1639/4800 [06:06<10:44,  4.91it/s]
loss=0.1487 (0.1414) xyz.shape=torch.Size([376704, 3]): :  34% 1639/4800 [06:06<10:44,  4.91it/s]
loss=0.1487 (0.1414) xyz.shape=torch.Size([376704, 3]): :  34% 1640/4800 [06:06<10:06,  5.21it/s]
loss=0.1429 (0.1414) xyz.shape=torch.Size([385280, 3]): :  34% 1640/4800 [06:06<10:06,  5.21it/s]
loss=0.1429 (0.1414) xyz.shape=torch.Size([385280, 3]): :  34% 1641/4800 [06:06<09:43,  5.42it/s]
loss=0.1430 (0.1414) xyz.shape=torch.Size([382336, 3]): :  34% 1641/4800 [06:07<09:43,  5.42it/s]
loss=0.1430 (0.1414) xyz.shape=torch.Size([382336, 3]): :  34% 1642/4800 [06:07<13:01,  4.04it/s]
loss=0.1421 (0.1414) xyz.shape=torch.Size([388096, 3]): :  34% 1642/4800 [06:07<13:01,  4.04it/s]
loss=0.1421 (0.1414) xyz.shape=torch.Size([388096, 3]): :  34% 1643/4800 [06:07<11:40,  4.51it/s]
loss=0.1396 (0.1414) xyz.shape=torch.Size([377728, 3]): :  34% 1643/4800 [06:07<11:40,  4.51it/s]
loss=0.1396 (0.1414) xyz.shape=torch.Size([377728, 3]): :  34% 1644/4800 [06:07<10:44,  4.90it/s]
loss=0.1399 (0.1414) xyz.shape=torch.Size([381568, 3]): :  34% 1644/4800 [06:07<10:44,  4.90it/s]
loss=0.1399 (0.1414) xyz.shape=torch.Size([381568, 3]): :  34% 1645/4800 [06:07<10:06,  5.20it/s]
loss=0.1421 (0.1414) xyz.shape=torch.Size([379392, 3]): :  34% 1645/4800 [06:07<10:06,  5.20it/s]
loss=0.1421 (0.1414) xyz.shape=torch.Size([379392, 3]): :  34% 1646/4800 [06:07<09:38,  5.45it/s]
loss=0.1442 (0.1414) xyz.shape=torch.Size([383616, 3]): :  34% 1646/4800 [06:08<09:38,  5.45it/s]
loss=0.1442 (0.1414) xyz.shape=torch.Size([383616, 3]): :  34% 1647/4800 [06:08<12:57,  4.05it/s]
loss=0.1440 (0.1414) xyz.shape=torch.Size([377600, 3]): :  34% 1647/4800 [06:08<12:57,  4.05it/s]
loss=0.1440 (0.1414) xyz.shape=torch.Size([377600, 3]): :  34% 1648/4800 [06:08<11:37,  4.52it/s]
loss=0.1420 (0.1414) xyz.shape=torch.Size([385152, 3]): :  34% 1648/4800 [06:08<11:37,  4.52it/s]
loss=0.1420 (0.1414) xyz.shape=torch.Size([385152, 3]): :  34% 1649/4800 [06:08<10:41,  4.91it/s]
loss=0.1439 (0.1414) xyz.shape=torch.Size([385152, 3]): :  34% 1649/4800 [06:08<10:41,  4.91it/s]
loss=0.1439 (0.1414) xyz.shape=torch.Size([385152, 3]): :  34% 1650/4800 [06:08<10:03,  5.22it/s]
loss=0.1371 (0.1414) xyz.shape=torch.Size([385024, 3]): :  34% 1650/4800 [06:08<10:03,  5.22it/s]
loss=0.1371 (0.1414) xyz.shape=torch.Size([385024, 3]): :  34% 1651/4800 [06:08<09:34,  5.48it/s]
loss=0.1414 (0.1414) xyz.shape=torch.Size([380288, 3]): :  34% 1651/4800 [06:09<09:34,  5.48it/s]
loss=0.1414 (0.1414) xyz.shape=torch.Size([380288, 3]): :  34% 1652/4800 [06:09<12:57,  4.05it/s]
loss=0.1430 (0.1414) xyz.shape=torch.Size([386816, 3]): :  34% 1652/4800 [06:09<12:57,  4.05it/s]
loss=0.1430 (0.1414) xyz.shape=torch.Size([386816, 3]): :  34% 1653/4800 [06:09<11:36,  4.52it/s]
loss=0.1413 (0.1414) xyz.shape=torch.Size([386048, 3]): :  34% 1653/4800 [06:09<11:36,  4.52it/s]
loss=0.1413 (0.1414) xyz.shape=torch.Size([386048, 3]): :  34% 1654/4800 [06:09<10:40,  4.91it/s]
loss=0.1439 (0.1414) xyz.shape=torch.Size([385920, 3]): :  34% 1654/4800 [06:09<10:40,  4.91it/s]
loss=0.1439 (0.1414) xyz.shape=torch.Size([385920, 3]): :  34% 1655/4800 [06:09<10:00,  5.24it/s]
loss=0.1484 (0.1414) xyz.shape=torch.Size([386048, 3]): :  34% 1655/4800 [06:10<10:00,  5.24it/s]
loss=0.1484 (0.1414) xyz.shape=torch.Size([386048, 3]): :  34% 1656/4800 [06:10<09:33,  5.48it/s]
loss=0.1485 (0.1414) xyz.shape=torch.Size([383360, 3]): :  34% 1656/4800 [06:10<09:33,  5.48it/s]
loss=0.1485 (0.1414) xyz.shape=torch.Size([383360, 3]): :  35% 1657/4800 [06:10<12:56,  4.05it/s]
loss=0.1411 (0.1414) xyz.shape=torch.Size([389504, 3]): :  35% 1657/4800 [06:10<12:56,  4.05it/s]
loss=0.1411 (0.1414) xyz.shape=torch.Size([389504, 3]): :  35% 1658/4800 [06:10<11:37,  4.50it/s]
loss=0.1477 (0.1414) xyz.shape=torch.Size([383744, 3]): :  35% 1658/4800 [06:10<11:37,  4.50it/s]
loss=0.1477 (0.1414) xyz.shape=torch.Size([383744, 3]): :  35% 1659/4800 [06:10<10:40,  4.90it/s]
loss=0.1435 (0.1414) xyz.shape=torch.Size([380928, 3]): :  35% 1659/4800 [06:10<10:40,  4.90it/s]
loss=0.1435 (0.1414) xyz.shape=torch.Size([380928, 3]): :  35% 1660/4800 [06:10<10:01,  5.22it/s]
loss=0.1445 (0.1414) xyz.shape=torch.Size([383488, 3]): :  35% 1660/4800 [06:11<10:01,  5.22it/s]
loss=0.1445 (0.1414) xyz.shape=torch.Size([383488, 3]): :  35% 1661/4800 [06:11<09:33,  5.47it/s]
loss=0.1448 (0.1414) xyz.shape=torch.Size([382208, 3]): :  35% 1661/4800 [06:11<09:33,  5.47it/s]
loss=0.1448 (0.1414) xyz.shape=torch.Size([382208, 3]): :  35% 1662/4800 [06:11<12:57,  4.04it/s]
loss=0.1368 (0.1414) xyz.shape=torch.Size([379520, 3]): :  35% 1662/4800 [06:11<12:57,  4.04it/s]
loss=0.1368 (0.1414) xyz.shape=torch.Size([379520, 3]): :  35% 1663/4800 [06:11<11:36,  4.50it/s]
loss=0.1430 (0.1414) xyz.shape=torch.Size([379648, 3]): :  35% 1663/4800 [06:11<11:36,  4.50it/s]
loss=0.1430 (0.1414) xyz.shape=torch.Size([379648, 3]): :  35% 1664/4800 [06:11<10:39,  4.90it/s]
loss=0.1415 (0.1414) xyz.shape=torch.Size([379776, 3]): :  35% 1664/4800 [06:11<10:39,  4.90it/s]
