nohup: ignoring input
Using /data1/wcc/.cache/torch_extensions/py39_cu117 as PyTorch extensions root...
Detected CUDA files, patching ldflags
Emitting ninja build file /data1/wcc/.cache/torch_extensions/py39_cu117/_raymarching/build.ninja...
Building extension module _raymarching...
Allowing ninja to set a default number of workers... (overridable by setting the environment variable MAX_JOBS=N)
ninja: no work to do.
Loading extension module _raymarching...
Using /data1/wcc/.cache/torch_extensions/py39_cu117 as PyTorch extensions root...
Detected CUDA files, patching ldflags
Emitting ninja build file /data1/wcc/.cache/torch_extensions/py39_cu117/_grid_encoder/build.ninja...
Building extension module _grid_encoder...
Allowing ninja to set a default number of workers... (overridable by setting the environment variable MAX_JOBS=N)
ninja: no work to do.
Loading extension module _grid_encoder...
Using /data1/wcc/.cache/torch_extensions/py39_cu117 as PyTorch extensions root...
Detected CUDA files, patching ldflags
Emitting ninja build file /data1/wcc/.cache/torch_extensions/py39_cu117/_freqencoder/build.ninja...
Building extension module _freqencoder...
Allowing ninja to set a default number of workers... (overridable by setting the environment variable MAX_JOBS=N)
Namespace(path='/home/wcc/RodinHD/data/fitting_obj_list_300.txt', save_dir='/home/wcc/RodinHD/data/save_triplane_and_mlp_300_plus', data_root='/home/wcc/RodinHD/data/raw_data_300', O=True, test=False, ray_shuffle=True, workspace='/home/wcc/RodinHD/data/save_triplane_and_mlp_300_plus', seed=0, iters=5000, lr0=0.001, lr1=0.0001, ckpt='latest', num_rays=65536, cuda_ray=True, max_steps=1024, num_steps=512, update_extra_interval=16, upsample_steps=512, max_ray_batch=4096, l1_reg_weight=0.0001, tv_weight=0.01, dist_weight=0.0, iwc_weight=0.1, patch_size=1, fp16=True, cp=False, triplane_channels=32, downscale=1, resolution0=512, resolution1=512, upsample_model_steps=[], grid_size=256, color_space='srgb', preload=True, bound=1.0, scale=0.4, offset=[0, 0, 0], dt_gamma=0.0, min_near=0.2, density_thresh=10, bg_radius=-1, gui=False, W=1920, H=1080, radius=5, fovy=50, max_spp=64, num_train_frames=300, out_loop_eps=90, eval_freq=1, no_tqdm=False, random_noise=False, random_scale=False, error_map=False, clip_text='', rand_pose=-1, start_idx=0, end_idx=1, eval_video=False)
Render using grid size:  256
ninja: no work to do.
Loading extension module _freqencoder...
NeRFNetworkPlus(
  (grid_sample): GridEncoder: input_dim=2 num_levels=3 level_dim=32 resolution=512 -> 512 per_level_scale=1.0000 gridtype=tiled align_corners=True interpolation=linear
  (encoder): FreqEncoder: input_dim=24 degree=2 output_dim=120
  (encoder_sigma): FreqEncoder: input_dim=8 degree=2 output_dim=40
  (encoder_dir): FreqEncoder: input_dim=3 degree=2 output_dim=15
  (color_net): ModuleList(
    (0): Linear(in_features=263, out_features=128, bias=False)
    (1): Linear(in_features=128, out_features=128, bias=False)
    (2): Linear(in_features=128, out_features=3, bias=False)
  )
  (sigma_net): Sequential(
    (0): Linear(in_features=40, out_features=128, bias=True)
    (1): Softplus(beta=1, threshold=20)
    (2): Linear(in_features=128, out_features=129, bias=True)
  )
)
1
Loading triplane from /home/wcc/RodinHD/data/save_triplane_and_mlp_300_plus/1_1_neutral.npy
tensor(-6.0571) tensor(-0.0211)
Generate dataset cost 10.26452112197876 s/avatar.
[INFO] Trainer: ngp | 2024-10-29_13-41-45 | cuda:0 | fp16 | 
/home/wcc/RodinHD/data/save_triplane_and_mlp_300_plus
[INFO] #parameters: 72321
[INFO] Loading latest checkpoint ...
[INFO] Latest checkpoint is 
/home/wcc/RodinHD/data/save_triplane_and_mlp_300_plus/checkpoints/ngp_ep0000.pth
.pth
[INFO] loaded model.
[WARN] missing keys: ['density_grid', 'density_bitfield']
Loading triplane from /home/wcc/RodinHD/data/save_triplane_and_mlp_300_plus/1_1_neutral.npy
tensor(-6.0571) tensor(-0.0211)
==> Start Training Epoch(random shuffle rays) 1, lr1=0.000100 lr0=0.001000
  0% 0/4800 [00:00<?, ?it/s]
loss=0.1544 (0.1544): :   0% 0/4800 [00:02<?, ?it/s]
loss=0.0021 (0.0024): :  93% 4478/4800 [21:27<01:34,  3.40it/s]
loss=0.0022 (0.0024): :  93% 4478/4800 [21:27<01:34,  3.40it/s]
loss=0.0022 (0.0024): :  93% 4479/4800 [21:27<01:28,  3.61it/s]
loss=0.0019 (0.0024): :  93% 4479/4800 [21:27<01:28,  3.61it/s]
loss=0.0019 (0.0024): :  93% 4480/4800 [21:27<01:24,  3.78it/s]
loss=0.0029 (0.0024): :  93% 4480/4800 [21:28<01:24,  3.78it/s]
loss=0.0029 (0.0024): :  93% 4481/4800 [21:28<01:21,  3.90it/s]
loss=0.0023 (0.0024): :  93% 4481/4800 [21:28<01:21,  3.90it/s]
loss=0.0023 (0.0024): :  93% 4482/4800 [21:28<01:41,  3.14it/s]
loss=0.0024 (0.0024): :  93% 4482/4800 [21:28<01:41,  3.14it/s]
loss=0.0024 (0.0024): :  93% 4483/4800 [21:28<01:33,  3.40it/s]
loss=0.0025 (0.0024): :  93% 4483/4800 [21:29<01:33,  3.40it/s]
loss=0.0025 (0.0024): :  93% 4484/4800 [21:29<01:27,  3.61it/s]
loss=0.0019 (0.0024): :  93% 4484/4800 [21:29<01:27,  3.61it/s]
loss=0.0019 (0.0024): :  93% 4485/4800 [21:29<01:23,  3.78it/s]
loss=0.0027 (0.0024): :  93% 4485/4800 [21:29<01:23,  3.78it/s]
loss=0.0027 (0.0024): :  93% 4486/4800 [21:29<01:20,  3.90it/s]
loss=0.0024 (0.0024): :  93% 4486/4800 [21:30<01:20,  3.90it/s]
loss=0.0024 (0.0024): :  93% 4487/4800 [21:30<01:40,  3.11it/s]
loss=0.0022 (0.0024): :  93% 4487/4800 [21:30<01:40,  3.11it/s]
loss=0.0022 (0.0024): :  94% 4488/4800 [21:30<01:32,  3.38it/s]
loss=0.0024 (0.0024): :  94% 4488/4800 [21:30<01:32,  3.38it/s]
loss=0.0024 (0.0024): :  94% 4489/4800 [21:30<01:26,  3.60it/s]
loss=0.0027 (0.0024): :  94% 4489/4800 [21:30<01:26,  3.60it/s]
loss=0.0027 (0.0024): :  94% 4490/4800 [21:30<01:22,  3.77it/s]
loss=0.0026 (0.0024): :  94% 4490/4800 [21:30<01:22,  3.77it/s]
loss=0.0026 (0.0024): :  94% 4491/4800 [21:30<01:19,  3.90it/s]
loss=0.0020 (0.0024): :  94% 4491/4800 [21:31<01:19,  3.90it/s]
loss=0.0020 (0.0024): :  94% 4492/4800 [21:31<01:38,  3.13it/s]
loss=0.0021 (0.0024): :  94% 4492/4800 [21:31<01:38,  3.13it/s]
loss=0.0021 (0.0024): :  94% 4493/4800 [21:31<01:30,  3.39it/s]
loss=0.0022 (0.0024): :  94% 4493/4800 [21:31<01:30,  3.39it/s]
loss=0.0022 (0.0024): :  94% 4494/4800 [21:31<01:24,  3.60it/s]
loss=0.0025 (0.0024): :  94% 4494/4800 [21:32<01:24,  3.60it/s]
loss=0.0025 (0.0024): :  94% 4495/4800 [21:32<01:20,  3.77it/s]
loss=0.0022 (0.0024): :  94% 4495/4800 [21:32<01:20,  3.77it/s]
loss=0.0022 (0.0024): :  94% 4496/4800 [21:32<01:17,  3.90it/s]
loss=0.0024 (0.0024): :  94% 4496/4800 [21:32<01:17,  3.90it/s]
loss=0.0024 (0.0024): :  94% 4497/4800 [21:32<01:36,  3.13it/s]
loss=0.0023 (0.0024): :  94% 4497/4800 [21:33<01:36,  3.13it/s]
loss=0.0023 (0.0024): :  94% 4498/4800 [21:33<01:29,  3.39it/s]
loss=0.0022 (0.0024): :  94% 4498/4800 [21:33<01:29,  3.39it/s]
loss=0.0022 (0.0024): :  94% 4499/4800 [21:33<01:23,  3.60it/s]
loss=0.0027 (0.0024): :  94% 4499/4800 [21:33<01:23,  3.60it/s]
loss=0.0027 (0.0024): :  94% 4500/4800 [21:33<01:19,  3.76it/s]
loss=0.0024 (0.0024): :  94% 4500/4800 [21:33<01:19,  3.76it/s]
loss=0.0024 (0.0024): :  94% 4501/4800 [21:33<01:16,  3.88it/s]
loss=0.0019 (0.0024): :  94% 4501/4800 [21:34<01:16,  3.88it/s]
loss=0.0019 (0.0024): :  94% 4502/4800 [21:34<01:35,  3.11it/s]
loss=0.0021 (0.0024): :  94% 4502/4800 [21:34<01:35,  3.11it/s]
loss=0.0021 (0.0024): :  94% 4503/4800 [21:34<01:28,  3.37it/s]
loss=0.0025 (0.0024): :  94% 4503/4800 [21:34<01:28,  3.37it/s]
loss=0.0025 (0.0024): :  94% 4504/4800 [21:34<01:22,  3.59it/s]
loss=0.0025 (0.0024): :  94% 4504/4800 [21:34<01:22,  3.59it/s]
loss=0.0025 (0.0024): :  94% 4505/4800 [21:34<01:18,  3.76it/s]
loss=0.0020 (0.0024): :  94% 4505/4800 [21:35<01:18,  3.76it/s]
loss=0.0020 (0.0024): :  94% 4506/4800 [21:35<01:15,  3.89it/s]
loss=0.0017 (0.0024): :  94% 4506/4800 [21:35<01:15,  3.89it/s]
loss=0.0017 (0.0024): :  94% 4507/4800 [21:35<01:34,  3.10it/s]
loss=0.0026 (0.0024): :  94% 4507/4800 [21:35<01:34,  3.10it/s]
loss=0.0026 (0.0024): :  94% 4508/4800 [21:35<01:26,  3.37it/s]
loss=0.0020 (0.0024): :  94% 4508/4800 [21:36<01:26,  3.37it/s]
loss=0.0020 (0.0024): :  94% 4509/4800 [21:36<01:20,  3.59it/s]
loss=0.0024 (0.0024): :  94% 4509/4800 [21:36<01:20,  3.59it/s]
loss=0.0024 (0.0024): :  94% 4510/4800 [21:36<01:17,  3.76it/s]
loss=0.0021 (0.0024): :  94% 4510/4800 [21:36<01:17,  3.76it/s]
loss=0.0021 (0.0024): :  94% 4511/4800 [21:36<01:15,  3.85it/s]
loss=0.0026 (0.0024): :  94% 4511/4800 [21:37<01:15,  3.85it/s]
loss=0.0026 (0.0024): :  94% 4512/4800 [21:37<01:33,  3.09it/s]
loss=0.0019 (0.0024): :  94% 4512/4800 [21:37<01:33,  3.09it/s]
loss=0.0019 (0.0024): :  94% 4513/4800 [21:37<01:25,  3.35it/s]
loss=0.0024 (0.0024): :  94% 4513/4800 [21:37<01:25,  3.35it/s]
loss=0.0024 (0.0024): :  94% 4514/4800 [21:37<01:20,  3.55it/s]
loss=0.0023 (0.0024): :  94% 4514/4800 [21:37<01:20,  3.55it/s]
loss=0.0023 (0.0024): :  94% 4515/4800 [21:37<01:16,  3.72it/s]
loss=0.0023 (0.0024): :  94% 4515/4800 [21:38<01:16,  3.72it/s]
loss=0.0023 (0.0024): :  94% 4516/4800 [21:38<01:13,  3.84it/s]
loss=0.0024 (0.0024): :  94% 4516/4800 [21:38<01:13,  3.84it/s]
loss=0.0024 (0.0024): :  94% 4517/4800 [21:38<01:32,  3.07it/s]
loss=0.0020 (0.0024): :  94% 4517/4800 [21:38<01:32,  3.07it/s]
loss=0.0020 (0.0024): :  94% 4518/4800 [21:38<01:24,  3.33it/s]
loss=0.0017 (0.0024): :  94% 4518/4800 [21:39<01:24,  3.33it/s]
loss=0.0017 (0.0024): :  94% 4519/4800 [21:39<01:19,  3.54it/s]
loss=0.0019 (0.0024): :  94% 4519/4800 [21:39<01:19,  3.54it/s]
loss=0.0019 (0.0024): :  94% 4520/4800 [21:39<01:15,  3.71it/s]
loss=0.0022 (0.0024): :  94% 4520/4800 [21:39<01:15,  3.71it/s]
loss=0.0022 (0.0024): :  94% 4521/4800 [21:39<01:12,  3.84it/s]
loss=0.0025 (0.0024): :  94% 4521/4800 [21:39<01:12,  3.84it/s]
loss=0.0025 (0.0024): :  94% 4522/4800 [21:39<01:10,  3.94it/s]
loss=0.0024 (0.0024): :  94% 4522/4800 [21:40<01:10,  3.94it/s]
loss=0.0024 (0.0024): :  94% 4523/4800 [21:40<01:28,  3.14it/s]
loss=0.0024 (0.0024): :  94% 4523/4800 [21:40<01:28,  3.14it/s]
loss=0.0024 (0.0024): :  94% 4524/4800 [21:40<01:21,  3.38it/s]
loss=0.0017 (0.0024): :  94% 4524/4800 [21:40<01:21,  3.38it/s]
loss=0.0017 (0.0024): :  94% 4525/4800 [21:40<01:17,  3.57it/s]
loss=0.0024 (0.0024): :  94% 4525/4800 [21:40<01:17,  3.57it/s]
loss=0.0024 (0.0024): :  94% 4526/4800 [21:40<01:13,  3.72it/s]
loss=0.0027 (0.0024): :  94% 4526/4800 [21:41<01:13,  3.72it/s]
loss=0.0027 (0.0024): :  94% 4527/4800 [21:41<01:11,  3.83it/s]
loss=0.0022 (0.0024): :  94% 4527/4800 [21:41<01:11,  3.83it/s]
loss=0.0022 (0.0024): :  94% 4528/4800 [21:41<01:27,  3.10it/s]
loss=0.0028 (0.0024): :  94% 4528/4800 [21:41<01:27,  3.10it/s]
loss=0.0028 (0.0024): :  94% 4529/4800 [21:41<01:20,  3.36it/s]
loss=0.0025 (0.0024): :  94% 4529/4800 [21:42<01:20,  3.36it/s]
loss=0.0025 (0.0024): :  94% 4530/4800 [21:42<01:15,  3.56it/s]
loss=0.0023 (0.0024): :  94% 4530/4800 [21:42<01:15,  3.56it/s]
loss=0.0023 (0.0024): :  94% 4531/4800 [21:42<01:12,  3.72it/s]
loss=0.0022 (0.0024): :  94% 4531/4800 [21:42<01:12,  3.72it/s]
loss=0.0022 (0.0024): :  94% 4532/4800 [21:42<01:09,  3.84it/s]
loss=0.0023 (0.0024): :  94% 4532/4800 [21:43<01:09,  3.84it/s]
loss=0.0023 (0.0024): :  94% 4533/4800 [21:43<01:26,  3.08it/s]
loss=0.0026 (0.0024): :  94% 4533/4800 [21:43<01:26,  3.08it/s]
loss=0.0026 (0.0024): :  94% 4534/4800 [21:43<01:19,  3.33it/s]
loss=0.0018 (0.0024): :  94% 4534/4800 [21:43<01:19,  3.33it/s]
loss=0.0018 (0.0024): :  94% 4535/4800 [21:43<01:15,  3.53it/s]
loss=0.0023 (0.0024): :  94% 4535/4800 [21:43<01:15,  3.53it/s]
loss=0.0023 (0.0024): :  94% 4536/4800 [21:43<01:11,  3.69it/s]
loss=0.0023 (0.0024): :  94% 4536/4800 [21:44<01:11,  3.69it/s]
loss=0.0023 (0.0024): :  95% 4537/4800 [21:44<01:09,  3.81it/s]
loss=0.0022 (0.0024): :  95% 4537/4800 [21:44<01:09,  3.81it/s]
loss=0.0022 (0.0024): :  95% 4538/4800 [21:44<01:27,  3.01it/s]
loss=0.0020 (0.0024): :  95% 4538/4800 [21:44<01:27,  3.01it/s]
loss=0.0020 (0.0024): :  95% 4539/4800 [21:44<01:19,  3.28it/s]
loss=0.0026 (0.0024): :  95% 4539/4800 [21:45<01:19,  3.28it/s]
loss=0.0026 (0.0024): :  95% 4540/4800 [21:45<01:14,  3.50it/s]
loss=0.0021 (0.0024): :  95% 4540/4800 [21:45<01:14,  3.50it/s]
loss=0.0021 (0.0024): :  95% 4541/4800 [21:45<01:10,  3.67it/s]
loss=0.0018 (0.0024): :  95% 4541/4800 [21:45<01:10,  3.67it/s]
loss=0.0018 (0.0024): :  95% 4542/4800 [21:45<01:07,  3.80it/s]
loss=0.0021 (0.0024): :  95% 4542/4800 [21:46<01:07,  3.80it/s]
loss=0.0021 (0.0024): :  95% 4543/4800 [21:46<01:23,  3.08it/s]
loss=0.0024 (0.0024): :  95% 4543/4800 [21:46<01:23,  3.08it/s]
loss=0.0024 (0.0024): :  95% 4544/4800 [21:46<01:16,  3.34it/s]
loss=0.0020 (0.0024): :  95% 4544/4800 [21:46<01:16,  3.34it/s]
loss=0.0020 (0.0024): :  95% 4545/4800 [21:46<01:11,  3.54it/s]
loss=0.0016 (0.0024): :  95% 4545/4800 [21:46<01:11,  3.54it/s]
loss=0.0016 (0.0024): :  95% 4546/4800 [21:46<01:08,  3.71it/s]
loss=0.0021 (0.0024): :  95% 4546/4800 [21:46<01:08,  3.71it/s]
loss=0.0021 (0.0024): :  95% 4547/4800 [21:46<01:05,  3.84it/s]
loss=0.0022 (0.0024): :  95% 4547/4800 [21:47<01:05,  3.84it/s]
loss=0.0022 (0.0024): :  95% 4548/4800 [21:47<01:27,  2.87it/s]
loss=0.0020 (0.0024): :  95% 4548/4800 [21:47<01:27,  2.87it/s]
loss=0.0020 (0.0024): :  95% 4549/4800 [21:47<01:19,  3.17it/s]
loss=0.0021 (0.0024): :  95% 4549/4800 [21:48<01:19,  3.17it/s]
loss=0.0021 (0.0024): :  95% 4550/4800 [21:48<01:13,  3.42it/s]
loss=0.0021 (0.0024): :  95% 4550/4800 [21:48<01:13,  3.42it/s]
loss=0.0021 (0.0024): :  95% 4551/4800 [21:48<01:08,  3.62it/s]
loss=0.0019 (0.0024): :  95% 4551/4800 [21:48<01:08,  3.62it/s]
loss=0.0019 (0.0024): :  95% 4552/4800 [21:48<01:05,  3.77it/s]
loss=0.0023 (0.0024): :  95% 4552/4800 [21:48<01:05,  3.77it/s]
loss=0.0023 (0.0024): :  95% 4553/4800 [21:48<01:20,  3.07it/s]
loss=0.0022 (0.0024): :  95% 4553/4800 [21:49<01:20,  3.07it/s]
loss=0.0022 (0.0024): :  95% 4554/4800 [21:49<01:13,  3.34it/s]
loss=0.0027 (0.0024): :  95% 4554/4800 [21:49<01:13,  3.34it/s]
loss=0.0027 (0.0024): :  95% 4555/4800 [21:49<01:08,  3.55it/s]
loss=0.0024 (0.0024): :  95% 4555/4800 [21:49<01:08,  3.55it/s]
loss=0.0024 (0.0024): :  95% 4556/4800 [21:49<01:05,  3.73it/s]
loss=0.0024 (0.0024): :  95% 4556/4800 [21:49<01:05,  3.73it/s]
loss=0.0024 (0.0024): :  95% 4557/4800 [21:49<01:02,  3.86it/s]
loss=0.0020 (0.0024): :  95% 4557/4800 [21:50<01:02,  3.86it/s]
loss=0.0020 (0.0024): :  95% 4558/4800 [21:50<01:24,  2.86it/s]
loss=0.0022 (0.0024): :  95% 4558/4800 [21:50<01:24,  2.86it/s]
loss=0.0022 (0.0024): :  95% 4559/4800 [21:50<01:16,  3.16it/s]
loss=0.0023 (0.0024): :  95% 4559/4800 [21:50<01:16,  3.16it/s]
loss=0.0023 (0.0024): :  95% 4560/4800 [21:50<01:10,  3.42it/s]
loss=0.0023 (0.0024): :  95% 4560/4800 [21:51<01:10,  3.42it/s]
loss=0.0023 (0.0024): :  95% 4561/4800 [21:51<01:06,  3.62it/s]
loss=0.0023 (0.0024): :  95% 4561/4800 [21:51<01:06,  3.62it/s]
loss=0.0023 (0.0024): :  95% 4562/4800 [21:51<01:03,  3.77it/s]
loss=0.0023 (0.0024): :  95% 4562/4800 [21:51<01:03,  3.77it/s]
loss=0.0023 (0.0024): :  95% 4563/4800 [21:51<01:17,  3.07it/s]
loss=0.0023 (0.0024): :  95% 4563/4800 [21:52<01:17,  3.07it/s]
loss=0.0023 (0.0024): :  95% 4564/4800 [21:52<01:10,  3.34it/s]
loss=0.0025 (0.0024): :  95% 4564/4800 [21:52<01:10,  3.34it/s]
loss=0.0025 (0.0024): :  95% 4565/4800 [21:52<01:06,  3.56it/s]
loss=0.0023 (0.0024): :  95% 4565/4800 [21:52<01:06,  3.56it/s]
loss=0.0023 (0.0024): :  95% 4566/4800 [21:52<01:02,  3.73it/s]
loss=0.0028 (0.0024): :  95% 4566/4800 [21:52<01:02,  3.73it/s]
loss=0.0028 (0.0024): :  95% 4567/4800 [21:52<01:00,  3.86it/s]
loss=0.0023 (0.0024): :  95% 4567/4800 [21:53<01:00,  3.86it/s]
loss=0.0023 (0.0024): :  95% 4568/4800 [21:53<01:19,  2.91it/s]
loss=0.0018 (0.0024): :  95% 4568/4800 [21:53<01:19,  2.91it/s]
loss=0.0018 (0.0024): :  95% 4569/4800 [21:53<01:12,  3.21it/s]
loss=0.0024 (0.0024): :  95% 4569/4800 [21:53<01:12,  3.21it/s]
loss=0.0024 (0.0024): :  95% 4570/4800 [21:53<01:06,  3.45it/s]
loss=0.0022 (0.0024): :  95% 4570/4800 [21:54<01:06,  3.45it/s]
loss=0.0022 (0.0024): :  95% 4571/4800 [21:54<01:02,  3.65it/s]
loss=0.0023 (0.0024): :  95% 4571/4800 [21:54<01:02,  3.65it/s]
loss=0.0023 (0.0024): :  95% 4572/4800 [21:54<01:00,  3.80it/s]
loss=0.0027 (0.0024): :  95% 4572/4800 [21:54<01:00,  3.80it/s]
loss=0.0027 (0.0024): :  95% 4573/4800 [21:54<00:57,  3.92it/s]
loss=0.0019 (0.0024): :  95% 4573/4800 [21:55<00:57,  3.92it/s]
loss=0.0019 (0.0024): :  95% 4574/4800 [21:55<01:12,  3.14it/s]
loss=0.0017 (0.0024): :  95% 4574/4800 [21:55<01:12,  3.14it/s]
loss=0.0017 (0.0024): :  95% 4575/4800 [21:55<01:06,  3.40it/s]
loss=0.0023 (0.0024): :  95% 4575/4800 [21:55<01:06,  3.40it/s]
loss=0.0023 (0.0024): :  95% 4576/4800 [21:55<01:02,  3.61it/s]
loss=0.0017 (0.0024): :  95% 4576/4800 [21:55<01:02,  3.61it/s]
loss=0.0017 (0.0024): :  95% 4577/4800 [21:55<00:59,  3.77it/s]
loss=0.0023 (0.0024): :  95% 4577/4800 [21:55<00:59,  3.77it/s]
loss=0.0023 (0.0024): :  95% 4578/4800 [21:55<00:57,  3.88it/s]
loss=0.0022 (0.0024): :  95% 4578/4800 [21:56<00:57,  3.88it/s]
loss=0.0022 (0.0024): :  95% 4579/4800 [21:56<01:13,  2.99it/s]
loss=0.0021 (0.0024): :  95% 4579/4800 [21:56<01:13,  2.99it/s]
loss=0.0021 (0.0024): :  95% 4580/4800 [21:56<01:07,  3.28it/s]
loss=0.0026 (0.0024): :  95% 4580/4800 [21:56<01:07,  3.28it/s]
loss=0.0026 (0.0024): :  95% 4581/4800 [21:56<01:02,  3.51it/s]
loss=0.0022 (0.0024): :  95% 4581/4800 [21:57<01:02,  3.51it/s]
loss=0.0022 (0.0024): :  95% 4582/4800 [21:57<00:59,  3.69it/s]
loss=0.0020 (0.0024): :  95% 4582/4800 [21:57<00:59,  3.69it/s]
loss=0.0020 (0.0024): :  95% 4583/4800 [21:57<00:56,  3.84it/s]
loss=0.0016 (0.0024): :  95% 4583/4800 [21:57<00:56,  3.84it/s]
loss=0.0016 (0.0024): :  96% 4584/4800 [21:57<01:09,  3.09it/s]
loss=0.0020 (0.0024): :  96% 4584/4800 [21:58<01:09,  3.09it/s]
loss=0.0020 (0.0024): :  96% 4585/4800 [21:58<01:03,  3.36it/s]
loss=0.0025 (0.0024): :  96% 4585/4800 [21:58<01:03,  3.36it/s]
loss=0.0025 (0.0024): :  96% 4586/4800 [21:58<00:59,  3.58it/s]
loss=0.0023 (0.0024): :  96% 4586/4800 [21:58<00:59,  3.58it/s]
loss=0.0023 (0.0024): :  96% 4587/4800 [21:58<00:56,  3.75it/s]
loss=0.0023 (0.0024): :  96% 4587/4800 [21:58<00:56,  3.75it/s]
loss=0.0023 (0.0024): :  96% 4588/4800 [21:58<00:54,  3.88it/s]
loss=0.0025 (0.0024): :  96% 4588/4800 [21:59<00:54,  3.88it/s]
loss=0.0025 (0.0024): :  96% 4589/4800 [21:59<01:07,  3.11it/s]
loss=0.0026 (0.0024): :  96% 4589/4800 [21:59<01:07,  3.11it/s]
loss=0.0026 (0.0024): :  96% 4590/4800 [21:59<01:02,  3.37it/s]
loss=0.0026 (0.0024): :  96% 4590/4800 [21:59<01:02,  3.37it/s]
loss=0.0026 (0.0024): :  96% 4591/4800 [21:59<00:58,  3.59it/s]
loss=0.0024 (0.0024): :  96% 4591/4800 [22:00<00:58,  3.59it/s]
loss=0.0024 (0.0024): :  96% 4592/4800 [22:00<00:55,  3.76it/s]
loss=0.0018 (0.0024): :  96% 4592/4800 [22:00<00:55,  3.76it/s]
loss=0.0018 (0.0024): :  96% 4593/4800 [22:00<00:53,  3.88it/s]
loss=0.0024 (0.0024): :  96% 4593/4800 [22:00<00:53,  3.88it/s]
loss=0.0024 (0.0024): :  96% 4594/4800 [22:00<01:06,  3.12it/s]
loss=0.0020 (0.0024): :  96% 4594/4800 [22:01<01:06,  3.12it/s]
loss=0.0020 (0.0024): :  96% 4595/4800 [22:01<01:00,  3.38it/s]
loss=0.0023 (0.0024): :  96% 4595/4800 [22:01<01:00,  3.38it/s]
loss=0.0023 (0.0024): :  96% 4596/4800 [22:01<00:56,  3.60it/s]
loss=0.0023 (0.0024): :  96% 4596/4800 [22:01<00:56,  3.60it/s]
loss=0.0023 (0.0024): :  96% 4597/4800 [22:01<00:53,  3.76it/s]
loss=0.0023 (0.0024): :  96% 4597/4800 [22:01<00:53,  3.76it/s]
loss=0.0023 (0.0024): :  96% 4598/4800 [22:01<00:51,  3.89it/s]
loss=0.0023 (0.0024): :  96% 4598/4800 [22:02<00:51,  3.89it/s]
loss=0.0023 (0.0024): :  96% 4599/4800 [22:02<01:04,  3.11it/s]
loss=0.0021 (0.0024): :  96% 4599/4800 [22:02<01:04,  3.11it/s]
loss=0.0021 (0.0024): :  96% 4600/4800 [22:02<00:59,  3.37it/s]
loss=0.0024 (0.0024): :  96% 4600/4800 [22:02<00:59,  3.37it/s]
loss=0.0024 (0.0024): :  96% 4601/4800 [22:02<00:55,  3.59it/s]
loss=0.0020 (0.0024): :  96% 4601/4800 [22:02<00:55,  3.59it/s]
loss=0.0020 (0.0024): :  96% 4602/4800 [22:02<00:52,  3.75it/s]
loss=0.0022 (0.0024): :  96% 4602/4800 [22:03<00:52,  3.75it/s]
loss=0.0022 (0.0024): :  96% 4603/4800 [22:03<00:50,  3.88it/s]
loss=0.0022 (0.0024): :  96% 4603/4800 [22:03<00:50,  3.88it/s]
loss=0.0022 (0.0024): :  96% 4604/4800 [22:03<01:04,  3.06it/s]
loss=0.0026 (0.0024): :  96% 4604/4800 [22:03<01:04,  3.06it/s]
loss=0.0026 (0.0024): :  96% 4605/4800 [22:03<00:58,  3.34it/s]
loss=0.0026 (0.0024): :  96% 4605/4800 [22:04<00:58,  3.34it/s]
loss=0.0026 (0.0024): :  96% 4606/4800 [22:04<00:54,  3.56it/s]
loss=0.0021 (0.0024): :  96% 4606/4800 [22:04<00:54,  3.56it/s]
loss=0.0021 (0.0024): :  96% 4607/4800 [22:04<00:51,  3.73it/s]
loss=0.0022 (0.0024): :  96% 4607/4800 [22:04<00:51,  3.73it/s]
loss=0.0022 (0.0024): :  96% 4608/4800 [22:04<00:49,  3.87it/s]
loss=0.0025 (0.0024): :  96% 4608/4800 [22:05<00:49,  3.87it/s]
loss=0.0025 (0.0024): :  96% 4609/4800 [22:05<01:01,  3.09it/s]
loss=0.0024 (0.0024): :  96% 4609/4800 [22:05<01:01,  3.09it/s]
loss=0.0024 (0.0024): :  96% 4610/4800 [22:05<00:56,  3.37it/s]
loss=0.0022 (0.0024): :  96% 4610/4800 [22:05<00:56,  3.37it/s]
loss=0.0022 (0.0024): :  96% 4611/4800 [22:05<00:52,  3.58it/s]
loss=0.0025 (0.0024): :  96% 4611/4800 [22:05<00:52,  3.58it/s]
loss=0.0025 (0.0024): :  96% 4612/4800 [22:05<00:50,  3.75it/s]
loss=0.0023 (0.0024): :  96% 4612/4800 [22:05<00:50,  3.75it/s]
loss=0.0023 (0.0024): :  96% 4613/4800 [22:05<00:48,  3.88it/s]
loss=0.0027 (0.0024): :  96% 4613/4800 [22:06<00:48,  3.88it/s]
loss=0.0027 (0.0024): :  96% 4614/4800 [22:06<00:59,  3.11it/s]
loss=0.0025 (0.0024): :  96% 4614/4800 [22:06<00:59,  3.11it/s]
loss=0.0025 (0.0024): :  96% 4615/4800 [22:06<00:54,  3.38it/s]
loss=0.0022 (0.0024): :  96% 4615/4800 [22:06<00:54,  3.38it/s]
loss=0.0022 (0.0024): :  96% 4616/4800 [22:06<00:51,  3.59it/s]
loss=0.0019 (0.0024): :  96% 4616/4800 [22:07<00:51,  3.59it/s]
loss=0.0019 (0.0024): :  96% 4617/4800 [22:07<00:48,  3.76it/s]
